ticker,alpha,beta_marche,pval_marche,beta_sentiment,pval_sentiment,beta_taux,pval_taux,beta_vix,pval_vix,r_squared,n_obs,n_articles
TSLA,-0.00023550235632819585,2.2045727414373775,4.896968897305865e-98,0.04087664831319061,1.3298185075410323e-08,-0.04175493246643078,0.016052920327514326,0.004551331212815413,3.862184090989227e-11,0.34693971308695726,1496,228
LRCX,0.00011814332613002899,1.6136996299511335,9.076991907644498e-196,0.013942434610804605,2.4598616553202968e-11,-0.023626106468050575,0.0038532018579427486,0.0012276722311543914,0.00014059396851748076,0.6331237110590504,1496,204
NFLX,0.0002922240080813702,0.8171159568549228,1.5024113417968855e-19,0.012361780356092552,1.2781954966329493e-06,-0.04022831865469687,0.048768023379146715,-0.0009159866942289863,0.0893431682138267,0.3742324399988589,616,498
C,-0.0006133930762853278,0.8500994616513204,4.959869713826719e-80,0.012080834427063588,2.5933406413474046e-13,0.04729775693367749,4.30756666635226e-10,-0.0012396698927157365,2.7133392760218485e-05,0.5126147501103053,1496,341
TMUS,0.00037948212177775313,0.42493387592303233,2.2944993307930253e-31,0.011974065660911061,5.909186563112093e-10,-0.01727282502504781,0.0066148474943806546,-0.0020404957939130124,8.307093468477345e-16,0.3571707776222275,1496,171
PEP,-5.5540959705718324e-05,0.38719526633461254,1.628423816839811e-42,0.011767570159899073,6.020107434777282e-11,-0.01327316111721559,0.006622040152111664,-0.0010268362111350118,1.1885746301172925e-07,0.36648516166832934,1496,201
AMGN,4.4638421593415074e-05,0.43134286395653776,1.5695668907176587e-34,0.011580373576669665,3.241425043569488e-05,-0.0003096578737593282,0.959366573054243,-0.0009592093994990844,6.817474386449007e-05,0.30106247652271945,1496,72
WFC,-0.0002832786938252251,0.7534352053921993,2.0358727235541795e-61,0.011334520049943803,2.3168094889162695e-10,0.06952859973210013,5.729196310320435e-19,-0.001207330313119614,7.133469750486146e-05,0.45885204466793017,1496,331
MU,-0.00019153687483253987,1.3977624431260791,7.960892331152672e-133,0.01128276562754085,1.5484340311078043e-10,0.008738519334070346,0.3369841552148754,0.0005361333875868388,0.13458719789813062,0.5392408672819555,1496,391
AXP,-0.0001533465735381742,0.9143464785931679,7.184964990965959e-94,0.010894649323910283,8.027088594587368e-09,0.034513226248090625,2.493780632488193e-06,-0.0007543403056436815,0.009374548554354404,0.5070449706090321,1494,493
ANET,-0.0008565877590051863,1.7849381833929774,2.1683575709763903e-130,0.010723776029814894,0.00112950853432284,0.0023735187968840937,0.8405792537629186,0.003786888081982993,8.269978666736717e-16,0.42200517235444446,1496,332
CRM,6.214221525931179e-05,0.9654253179442701,6.924021078939217e-87,0.01039729551014799,3.1392344860036764e-07,-0.020798843437500093,0.010029114689170046,-0.00047664875468048866,0.1341892426230367,0.45381932130210567,1496,275
AMAT,-1.91031218133782e-05,1.4854060154023934,1.639303695291612e-188,0.010287849875858578,2.9432409706098604e-07,-0.021613232436687523,0.005199396379439943,0.00014767090887133746,0.6272346543269895,0.6447211645305995,1496,227
META,-8.564287426928837e-06,0.9054037755188264,1.5550228380740913e-32,0.01018534317272566,0.07831165988720212,-0.027359455809182472,0.10101806340061358,-0.0004174484309706322,0.34532035209893197,0.4743333770954288,625,74
QCOM,-0.00010728209270663701,1.128161894105876,4.0419001552987384e-112,0.009994582473172735,4.333658403095345e-08,-0.017851358569282844,0.02816931672517644,-0.0001035654420964595,0.7467084403889234,0.5061125325781441,1496,370
